what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1285202242179
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1285202245552
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1285202246040
started,bundle,org.eclipse.mylyn.java.tasks,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.tasks",1285202304991
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1285202305099
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.resources.ResourcesEditor",1285202313777
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1285202315675
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1285202323116
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1285202323883
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1285202338512
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1285202348576
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285202351884
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1285202352087
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1285202352153
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285202352195
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1285202369151
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1285202396885
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1285202398845
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1285202406135
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285202408574
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1285202434974
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285202439205
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285202439318
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285202454974
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1285202492724
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285202502072
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285202539531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285202539611
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285202560812
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285202560959
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285202572974
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285202573101
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1285202607337
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1285202607341
started,bundle,org.eclipse.mylyn.java.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.ui",1285202607350
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1285202612790
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285202622547
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285202623619
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285202732856
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285202733012
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285202737444
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285202737638
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1285202764693
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1285202778590
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1285202785448
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1285202794453
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1285202794612
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1285202794902
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1285202863777
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1285202867166
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1285202874445
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1285202874594
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1285202874623
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1285202874624
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1285202874802
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1285202877200
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1285202877423
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1285202887613
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285202891987
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285202995083
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285203018001
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1285203032265
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1285203033691
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1285203053804
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1285203054784
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1285203057820
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203058316
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203097301
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1285203105655
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203113664
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203163547
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203165406
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203168664
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203193376
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203298731
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203301163
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203306463
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1285203316849
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1285203319725
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203320734
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203321030
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203321231
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203321881
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203322178
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203411883
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1285203412010
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1285203413369
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1285203416053
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203417092
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203426368
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1285203426560
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1285203427721
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1285203429552
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203442218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203446032
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1285203446041
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203448771
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203454265
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1285203454375
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203456415
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203457984
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285203512399
activated,editor,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.editors.layout.LayoutEditor",1285203525202
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1285203590256
